date,region,total_consumption_kwh,avg_consumption_kwh,peak_meter_consumption_kwh,total_solar_kwh,total_ev_kwh,avg_temperature_c
2025-01-10,Cologne,1064.28,1.1098,2.6044,9.14,194.56,0.07
2025-01-10,Hamburg,1096.31,1.1432,2.7156,5.95,75.24,0.48
2025-01-10,Leipzig,953.0,0.9937,2.2846,7.77,112.94,-0.28
2025-01-10,Munich,838.63,0.8763,2.116,7.45,201.1,-0.19
2025-01-11,Berlin,948.09,0.9917,2.4527,8.15,114.9,-0.06
2025-01-11,Cologne,911.09,0.951,2.35,8.63,215.34,-0.12
2025-01-11,Hamburg,935.53,0.9765,2.3503,6.16,76.18,0.22
2025-01-11,Leipzig,806.0,0.8422,2.064,9.31,100.34,0.31
2025-01-11,Munich,706.48,0.739,1.8596,8.29,161.3,0.21
2025-01-12,Berlin,944.99,0.9864,2.4164,7.44,90.68,0.26
2025-01-12,Cologne,903.24,0.9458,2.2832,8.23,213.22,-0.06
2025-01-12,Hamburg,934.08,0.975,2.2634,6.88,71.02,0.03
2025-01-12,Leipzig,808.26,0.8428,1.9325,8.31,162.83,0.01
2025-01-12,Munich,710.94,0.7413,1.8142,9.78,177.5,0.38
2025-01-13,Berlin,1113.45,1.1684,2.8393,8.89,110.03,0.05
2025-01-13,Cologne,1066.97,1.1126,2.7185,10.73,192.39,0.05
2025-01-13,Hamburg,1096.53,1.1446,2.6952,8.35,98.07,0.2
2025-01-13,Leipzig,946.31,0.9878,2.4196,10.37,126.62,0.35
2025-01-13,Munich,835.47,0.873,2.1667,9.97,148.87,0.29
2025-01-14,Berlin,1114.42,1.1682,2.8808,9.09,122.92,-0.07
2025-01-14,Cologne,1069.48,1.1222,2.685,10.45,177.54,-0.47
2025-01-14,Hamburg,1095.55,1.1436,2.5914,7.74,74.03,0.6
2025-01-14,Leipzig,950.68,0.9924,2.4838,10.8,125.82,0.19
2025-01-14,Munich,843.72,0.8798,2.1925,10.28,165.18,-0.54
2025-01-15,Berlin,1121.56,1.1695,2.8463,9.31,160.9,-0.13
2025-01-15,Cologne,1052.01,1.0993,2.5773,11.7,167.63,0.65
2025-01-15,Hamburg,1103.22,1.1516,2.7725,8.92,71.13,0.03
2025-01-15,Leipzig,950.35,0.992,2.3703,10.32,96.8,0.01
2025-01-15,Munich,828.14,0.8654,2.29,10.87,154.01,0.4
2025-01-16,Berlin,1122.43,1.1729,2.9322,11.02,130.03,-0.71
2025-01-16,Cologne,1064.04,1.113,2.6413,12.99,209.81,-0.02
2025-01-16,Hamburg,1106.99,1.1531,2.6254,9.64,72.73,-0.12
2025-01-16,Leipzig,962.98,1.0094,2.2954,11.99,107.66,-0.73
2025-01-16,Munich,834.44,0.8728,2.0696,12.73,118.46,-0.01
2025-01-17,Berlin,1110.13,1.16,2.8329,10.88,93.92,0.18
2025-01-17,Cologne,1071.47,1.1184,2.736,12.91,165.75,-0.1
2025-01-17,Hamburg,1100.63,1.1501,2.7027,10.23,68.49,0.39
2025-01-17,Leipzig,955.24,0.9982,2.4401,12.8,135.76,-0.23
2025-01-17,Munich,852.03,0.8885,2.192,12.95,157.73,-0.6
2025-01-18,Berlin,949.74,0.9903,2.425,11.78,120.0,-0.18
2025-01-18,Cologne,910.28,0.9482,2.3173,14.94,195.29,0.17
2025-01-18,Hamburg,938.9,0.9811,2.3658,9.66,75.89,0.03
2025-01-18,Leipzig,815.2,0.8501,2.0018,14.05,116.99,-0.66
2025-01-18,Munich,705.98,0.7385,1.8498,12.68,180.18,0.04
2025-01-19,Berlin,944.69,0.9882,2.4337,13.22,91.16,0.06
2025-01-19,Cologne,907.29,0.9471,2.1962,14.75,165.05,-0.14
2025-01-19,Hamburg,944.82,0.9852,2.3931,11.35,65.01,-0.18
2025-01-19,Leipzig,812.97,0.8486,1.9462,14.2,121.67,-0.2
2025-01-19,Munich,712.84,0.7464,1.8779,14.47,170.32,0.13
2025-01-20,Berlin,1120.31,1.1694,2.7887,13.47,119.78,-0.17
2025-01-20,Cologne,1067.12,1.1162,2.6121,15.83,192.42,-0.4
2025-01-20,Hamburg,1114.26,1.1668,2.8102,12.74,54.67,-0.6
2025-01-20,Leipzig,947.8,0.9883,2.459,13.54,121.78,0.17
2025-01-20,Munich,846.42,0.8826,2.2143,13.66,180.92,-0.42
2025-01-21,Berlin,1126.81,1.175,2.9491,12.69,108.39,-0.4
2025-01-21,Cologne,1066.34,1.1154,2.6953,16.54,189.1,-0.28
2025-01-21,Hamburg,1102.54,1.1497,2.6971,12.4,76.65,0.13
2025-01-21,Leipzig,955.31,0.9982,2.325,15.69,134.18,-0.29
2025-01-21,Munich,842.13,0.88,2.0866,16.1,211.37,-0.14
2025-01-22,Berlin,1115.51,1.1656,2.8206,14.77,130.99,0.14
2025-01-22,Cologne,1057.41,1.1049,2.7653,17.95,197.01,0.17
2025-01-22,Hamburg,1103.31,1.1505,2.7197,14.07,59.24,0.06
2025-01-22,Leipzig,949.53,0.9922,2.3654,16.54,108.21,0.04
2025-01-22,Munich,833.28,0.8689,2.0974,16.17,141.81,0.0
2025-01-23,Berlin,1116.81,1.1658,2.9097,15.6,130.95,0.09
2025-01-23,Cologne,1071.68,1.1187,2.6903,17.76,197.15,0.08
2025-01-23,Hamburg,1105.02,1.1583,2.6436,15.41,71.44,-0.27
2025-01-23,Leipzig,946.37,0.9879,2.4245,18.45,128.77,0.35
2025-01-23,Munich,836.92,0.8745,2.132,17.21,165.64,-0.25
2025-01-24,Berlin,1117.1,1.1661,2.8763,15.39,154.85,-0.06
2025-01-24,Cologne,1063.93,1.1106,2.5963,21.02,167.19,0.08
2025-01-24,Hamburg,1104.57,1.1566,2.6472,15.75,76.94,-0.12
2025-01-24,Leipzig,949.46,0.9901,2.3088,18.27,108.68,0.05
2025-01-24,Munich,840.2,0.8761,2.1135,18.76,156.69,-0.06
2025-01-25,Berlin,940.29,0.9846,2.4376,16.99,102.26,0.4
2025-01-25,Cologne,902.81,0.9444,2.1189,20.4,139.11,0.27
2025-01-25,Hamburg,936.6,0.9777,2.2496,14.93,73.78,0.26
2025-01-25,Leipzig,804.8,0.8401,2.0346,19.9,118.81,0.16
2025-01-25,Munich,714.56,0.749,1.8345,18.84,157.02,-0.52
2025-01-26,Berlin,939.86,0.9831,2.3086,19.0,136.5,0.46
2025-01-26,Cologne,904.28,0.9429,2.3482,21.78,180.67,0.14
2025-01-26,Hamburg,934.0,0.9739,2.2474,16.75,90.54,0.21
2025-01-26,Leipzig,807.9,0.8442,1.9503,20.87,97.11,-0.03
2025-01-26,Munich,714.94,0.7471,1.8333,19.45,188.3,-0.05
2025-01-27,Berlin,1115.53,1.1644,2.8125,17.57,121.49,0.26
2025-01-27,Cologne,1067.36,1.1142,2.7279,23.56,228.16,0.23
2025-01-27,Hamburg,1093.23,1.14,2.6538,17.96,87.67,0.47
2025-01-27,Leipzig,948.53,0.9932,2.376,21.15,135.28,-0.03
2025-01-27,Munich,839.0,0.8767,2.1557,22.04,167.69,-0.27
2025-01-28,Berlin,1105.21,1.1525,2.8194,20.35,99.98,0.5
2025-01-28,Cologne,1067.97,1.116,2.5861,24.42,233.22,-0.25
2025-01-28,Hamburg,1102.3,1.153,2.7122,18.4,62.47,-0.09
2025-01-28,Leipzig,951.03,0.9927,2.3288,21.52,98.28,0.16
2025-01-28,Munich,838.29,0.8769,2.1346,23.12,163.48,-0.06
2025-01-29,Berlin,1120.82,1.1749,2.871,20.97,121.0,-0.34
2025-01-29,Cologne,1053.95,1.1013,2.586,25.09,157.28,0.54
2025-01-29,Hamburg,1110.24,1.1565,2.6283,19.31,47.66,-0.2
2025-01-29,Leipzig,953.94,0.9978,2.3466,24.13,123.49,-0.21
2025-01-29,Munich,840.82,0.8795,2.3745,24.35,143.44,-0.33
2025-01-30,Berlin,1104.84,1.1557,2.8037,21.7,109.77,0.42
2025-01-30,Cologne,1059.34,1.1046,2.5537,27.84,138.52,0.36
2025-01-30,Hamburg,1093.6,1.1404,2.727,19.33,52.93,0.51
2025-01-30,Leipzig,958.13,1.0012,2.2792,24.2,82.96,-0.25
2025-01-30,Munich,832.92,0.8694,2.097,25.51,154.13,0.31
2025-01-31,Berlin,1107.03,1.1604,2.8626,22.73,105.63,0.26
2025-01-31,Cologne,1056.78,1.1031,2.6,28.6,165.1,0.61
2025-01-31,Hamburg,1088.19,1.1359,2.6205,22.48,73.15,0.79
2025-01-31,Leipzig,952.5,0.9932,2.3856,26.89,112.66,0.06
2025-01-31,Munich,831.98,0.8685,2.1242,25.9,178.99,0.68
2025-02-01,Berlin,946.23,0.9877,2.3747,23.98,81.91,0.41
2025-02-01,Cologne,887.06,0.9269,2.221,29.95,204.72,0.56
2025-02-01,Hamburg,934.93,0.9759,2.3202,21.79,68.82,0.26
2025-02-01,Leipzig,810.26,0.8458,2.0185,27.57,81.25,-0.04
2025-02-01,Munich,704.63,0.7355,1.9269,27.78,156.43,0.77
2025-02-02,Berlin,954.41,0.9963,2.4916,24.87,110.03,-0.31
2025-02-02,Cologne,909.62,0.9485,2.283,31.37,206.67,0.09
2025-02-02,Hamburg,931.63,0.9725,2.2874,23.45,82.19,0.75
2025-02-02,Leipzig,793.34,0.8333,1.9784,28.57,133.99,0.82
2025-02-02,Munich,714.64,0.746,1.891,28.7,119.15,-0.27
2025-02-03,Berlin,1109.8,1.1597,2.8934,27.23,82.84,0.54
2025-02-03,Cologne,1058.56,1.1038,2.6375,31.55,155.87,0.74
2025-02-03,Hamburg,1096.76,1.1437,2.708,24.8,82.93,0.4
2025-02-03,Leipzig,936.37,0.9774,2.4511,28.69,79.88,0.76
2025-02-03,Munich,823.5,0.8623,2.1902,29.26,182.55,0.65
2025-02-04,Berlin,1112.03,1.1644,2.8993,28.02,148.14,0.04
2025-02-04,Cologne,1071.18,1.1193,2.6374,33.12,151.08,-0.28
2025-02-04,Hamburg,1099.25,1.1498,2.6301,26.22,49.82,0.28
2025-02-04,Leipzig,942.55,0.987,2.3601,31.91,130.64,0.52
2025-02-04,Munich,837.89,0.8765,2.2226,31.02,174.34,0.09
2025-02-05,Berlin,1107.66,1.1574,2.862,29.78,100.07,0.46
2025-02-05,Cologne,1068.83,1.1157,2.6604,34.82,168.11,-0.02
2025-02-05,Hamburg,1090.49,1.1395,2.6578,26.89,51.98,0.65
2025-02-05,Leipzig,952.56,0.9922,2.4477,30.42,141.15,0.24
2025-02-05,Munich,829.99,0.8664,2.2486,30.57,143.68,0.5
2025-02-06,Berlin,1098.35,1.1477,2.8494,30.08,122.81,0.93
2025-02-06,Cologne,1055.19,1.1038,2.661,36.7,216.56,0.71
2025-02-06,Hamburg,1093.4,1.1413,2.7721,27.65,66.59,0.81
2025-02-06,Leipzig,935.83,0.9769,2.3625,34.29,108.88,0.98
2025-02-06,Munich,828.65,0.8677,2.1572,33.72,185.85,0.58
2025-02-07,Berlin,1102.77,1.1523,2.8181,30.32,142.15,0.65
2025-02-07,Cologne,1058.31,1.1047,2.7015,36.83,150.39,0.49
2025-02-07,Hamburg,1091.99,1.1387,2.7311,28.53,38.88,0.57
2025-02-07,Leipzig,945.52,0.987,2.4961,35.0,116.28,0.42
2025-02-07,Munich,826.93,0.8632,2.2131,35.48,153.8,0.81
2025-02-08,Berlin,937.57,0.9807,2.3953,31.32,128.66,0.62
2025-02-08,Cologne,894.54,0.9338,2.1839,38.75,205.28,0.79
2025-02-08,Hamburg,922.26,0.9677,2.2988,29.91,67.01,0.96
2025-02-08,Leipzig,791.13,0.8258,2.0434,36.11,124.42,1.26
2025-02-08,Munich,704.05,0.7349,1.8998,35.41,129.79,0.64
2025-02-09,Berlin,937.56,0.9776,2.513,33.44,136.16,0.83
2025-02-09,Cologne,882.98,0.9246,2.3306,40.03,158.66,0.95
2025-02-09,Hamburg,924.6,0.9661,2.3057,29.35,74.83,0.94
2025-02-09,Leipzig,803.0,0.8382,1.9986,38.74,121.13,0.29
2025-02-09,Munich,705.04,0.7359,1.8438,37.61,145.35,0.75
2025-02-10,Berlin,1093.81,1.1442,2.8065,34.1,118.14,1.08
2025-02-10,Cologne,1040.12,1.088,2.5653,41.4,146.19,1.21
2025-02-10,Hamburg,1085.27,1.1328,2.5584,30.9,55.14,0.74
2025-02-10,Leipzig,937.63,0.9787,2.379,40.54,120.32,0.65
2025-02-10,Munich,822.63,0.8578,2.071,39.96,190.92,1.17
2025-02-11,Berlin,1099.65,1.1503,2.8182,34.85,117.69,1.06
2025-02-11,Cologne,1039.31,1.0837,2.5677,41.96,175.18,1.42
2025-02-11,Hamburg,1084.93,1.1349,2.7132,33.18,54.49,1.05
2025-02-11,Leipzig,931.0,0.9738,2.3464,40.52,133.19,1.09
2025-02-11,Munich,821.43,0.8601,2.0479,40.25,137.56,0.86
2025-02-12,Berlin,1089.49,1.1361,2.759,36.08,114.06,1.44
2025-02-12,Cologne,1039.79,1.0854,2.4636,45.65,181.82,1.11
2025-02-12,Hamburg,1083.87,1.1314,2.6447,33.66,100.51,1.08
2025-02-12,Leipzig,939.92,0.9821,2.2795,41.79,112.22,0.82
2025-02-12,Munich,817.67,0.8544,2.1384,41.78,153.62,1.36
2025-02-13,Berlin,1093.76,1.1405,2.8275,37.77,101.55,1.45
2025-02-13,Cologne,1043.51,1.0904,2.5802,47.19,217.81,1.15
2025-02-13,Hamburg,1088.15,1.1382,2.5862,36.28,66.77,0.63
2025-02-13,Leipzig,923.24,0.9657,2.4128,43.93,131.74,1.66
2025-02-13,Munich,818.63,0.8545,2.0764,43.67,179.81,1.32
2025-02-14,Berlin,1109.15,1.1566,2.8159,39.44,117.82,0.47
2025-02-14,Cologne,1042.15,1.0878,2.5521,47.02,192.79,1.09
2025-02-14,Hamburg,1095.99,1.1428,2.7563,35.76,73.46,0.52
2025-02-14,Leipzig,938.42,0.9785,2.3219,46.34,111.58,0.84
2025-02-14,Munich,810.85,0.8482,2.0557,44.84,114.35,1.6
2025-02-15,Berlin,930.02,0.9718,2.3422,39.71,122.95,1.31
2025-02-15,Cologne,890.83,0.9289,2.1375,50.84,188.91,0.83
2025-02-15,Hamburg,910.81,0.9507,2.2949,37.23,66.97,1.57
2025-02-15,Leipzig,778.66,0.8145,1.9633,45.68,113.91,1.89
2025-02-15,Munich,697.2,0.7285,1.7656,46.45,123.03,1.12
2025-02-16,Berlin,922.47,0.9629,2.3679,41.63,101.5,1.77
2025-02-16,Cologne,884.07,0.9277,2.2704,50.75,160.36,1.41
2025-02-16,Hamburg,919.83,0.9622,2.1496,37.96,59.86,1.02
2025-02-16,Leipzig,796.01,0.8309,1.9575,49.13,131.22,0.85
2025-02-16,Munich,703.49,0.7343,1.8968,48.32,170.25,1.22
2025-02-17,Berlin,1092.18,1.1401,2.8701,43.07,126.73,1.24
2025-02-17,Cologne,1042.63,1.0895,2.579,52.94,195.8,1.54
2025-02-17,Hamburg,1081.08,1.1297,2.6565,40.03,61.48,0.98
2025-02-17,Leipzig,919.66,0.96,2.319,49.86,102.67,1.67
2025-02-17,Munich,818.44,0.8579,2.0756,49.9,156.96,1.73
2025-02-18,Berlin,1096.75,1.1448,2.8975,45.37,117.23,1.2
2025-02-18,Cologne,1036.0,1.0837,2.5971,55.79,195.27,1.59
2025-02-18,Hamburg,1076.26,1.1293,2.7945,42.47,68.99,1.3
2025-02-18,Leipzig,916.27,0.9584,2.3227,50.4,121.15,2.05
2025-02-18,Munich,808.07,0.8435,2.0402,51.77,194.63,1.7
2025-02-19,Berlin,1089.65,1.1374,2.77,46.54,100.01,1.68
2025-02-19,Cologne,1031.39,1.0777,2.6495,56.23,192.54,1.8
2025-02-19,Hamburg,1079.39,1.1267,2.618,43.09,73.54,1.25
2025-02-19,Leipzig,932.64,0.9766,2.2083,52.79,154.13,1.0
2025-02-19,Munich,821.55,0.8567,2.2536,53.07,150.47,1.25
2025-02-20,Berlin,1087.56,1.1352,2.7041,47.33,115.35,1.62
2025-02-20,Cologne,1035.56,1.0844,2.615,57.85,186.2,1.68
2025-02-20,Hamburg,1083.13,1.1294,2.6292,44.24,65.75,1.32
2025-02-20,Leipzig,927.06,0.9687,2.3904,55.76,108.01,1.35
2025-02-20,Munich,808.71,0.8433,2.0461,55.42,136.77,1.87
2025-02-21,Berlin,1095.42,1.1434,2.8606,50.46,98.26,1.31
2025-02-21,Cologne,1018.51,1.0654,2.5888,60.41,255.67,2.39
2025-02-21,Hamburg,1068.73,1.1156,2.6716,45.62,65.42,2.07
2025-02-21,Leipzig,917.64,0.9579,2.4039,56.34,94.95,1.68
2025-02-21,Munich,811.99,0.8502,2.087,57.02,211.74,1.68
2025-02-22,Berlin,923.87,0.9644,2.3713,50.17,122.95,1.64
2025-02-22,Cologne,876.14,0.9145,2.3466,61.87,169.16,1.92
2025-02-22,Hamburg,898.05,0.9423,2.1692,47.31,43.95,2.37
2025-02-22,Leipzig,783.93,0.8183,1.9153,58.1,106.17,1.52
2025-02-22,Munich,684.69,0.7169,1.8525,57.71,181.89,2.62
2025-02-23,Berlin,912.26,0.9543,2.2773,51.75,122.09,2.14
2025-02-23,Cologne,879.02,0.9176,2.2437,64.19,174.69,1.61
2025-02-23,Hamburg,907.12,0.9469,2.2255,48.56,87.47,1.88
2025-02-23,Leipzig,776.39,0.813,1.9423,57.84,147.79,1.99
2025-02-23,Munich,686.18,0.72,1.8759,58.94,164.78,2.01
2025-02-24,Berlin,1083.07,1.1317,2.8706,53.39,114.03,2.06
2025-02-24,Cologne,1033.21,1.0853,2.439,63.93,173.64,1.57
2025-02-24,Hamburg,1055.39,1.104,2.4988,50.18,52.51,2.34
2025-02-24,Leipzig,921.58,0.962,2.2704,61.9,88.72,1.57
2025-02-24,Munich,804.67,0.8452,2.2741,60.01,147.12,2.02
2025-02-25,Berlin,1076.91,1.1253,2.7195,55.09,129.91,2.12
2025-02-25,Cologne,1031.12,1.0786,2.516,65.5,186.02,2.0
2025-02-25,Hamburg,1077.68,1.1273,2.605,50.51,78.9,1.51
2025-02-25,Leipzig,920.32,0.9607,2.3101,63.57,79.64,1.86
2025-02-25,Munich,808.38,0.8438,2.1045,64.38,156.4,2.2
2025-02-26,Berlin,1074.48,1.1192,2.7465,56.18,103.58,2.1
2025-02-26,Cologne,1022.39,1.065,2.5203,68.31,180.58,2.4
2025-02-26,Hamburg,1066.52,1.1121,2.614,52.32,75.17,2.12
2025-02-26,Leipzig,924.57,0.9681,2.2499,64.91,97.43,1.72
2025-02-26,Munich,812.52,0.8473,2.1349,64.07,174.4,1.64
2025-02-27,Berlin,1070.7,1.12,2.793,58.16,140.52,2.45
2025-02-27,Cologne,1032.52,1.0767,2.6138,71.31,184.08,2.03
2025-02-27,Hamburg,1070.57,1.1152,2.6467,53.87,67.22,2.12
2025-02-27,Leipzig,910.82,0.9498,2.2681,67.69,87.91,2.5
2025-02-27,Munich,802.4,0.8393,2.0639,65.89,139.2,2.34
2025-02-28,Berlin,1069.73,1.1155,2.7945,60.08,143.24,2.65
2025-02-28,Cologne,1014.15,1.0597,2.686,72.37,179.87,2.56
2025-02-28,Hamburg,1058.81,1.1052,2.6243,56.87,78.04,2.19
2025-02-28,Leipzig,919.19,0.9575,2.3312,67.96,119.38,2.34
2025-02-28,Munich,805.28,0.8388,2.2029,67.3,146.63,2.64
2025-03-01,Berlin,918.51,0.9608,2.4159,61.27,94.47,2.1
2025-03-01,Cologne,867.98,0.9079,2.1281,73.1,226.99,2.39
2025-03-01,Hamburg,898.18,0.9376,2.1704,56.78,78.34,2.31
2025-03-01,Leipzig,770.14,0.8039,1.8858,70.89,123.53,2.84
2025-03-01,Munich,687.67,0.7171,1.8235,70.11,141.75,2.25
2025-03-02,Berlin,903.43,0.943,2.3316,63.01,120.34,2.72
2025-03-02,Cologne,872.73,0.9139,2.1584,76.15,135.32,2.1
2025-03-02,Hamburg,899.27,0.9367,2.3535,57.93,62.5,2.72
2025-03-02,Leipzig,774.5,0.8085,1.8641,71.31,92.86,2.57
2025-03-02,Munich,674.3,0.7061,1.7543,71.07,154.76,2.57
2025-03-03,Berlin,1059.13,1.1056,2.7045,63.7,113.41,2.9
2025-03-03,Cologne,1028.78,1.0739,2.5405,76.4,185.65,2.31
2025-03-03,Hamburg,1052.02,1.097,2.6377,58.93,73.1,2.99
2025-03-03,Leipzig,902.97,0.9426,2.3136,74.36,104.45,2.83
2025-03-03,Munich,801.78,0.8369,2.0708,73.32,190.46,2.62
2025-03-04,Berlin,1076.26,1.1258,2.8424,66.39,129.17,2.42
2025-03-04,Cologne,1008.94,1.0532,2.5463,78.95,147.5,3.23
2025-03-04,Hamburg,1047.92,1.0927,2.7854,61.41,66.34,2.82
2025-03-04,Leipzig,901.45,0.9439,2.2922,75.93,93.45,3.26
2025-03-04,Munich,802.8,0.8363,2.0472,76.28,135.08,2.59
2025-03-05,Berlin,1063.41,1.1123,2.7923,68.1,103.92,2.87
2025-03-05,Cologne,1011.05,1.0576,2.5739,80.94,193.51,3.18
2025-03-05,Hamburg,1043.76,1.0907,2.6789,61.21,72.08,3.15
2025-03-05,Leipzig,898.89,0.9403,2.3316,78.23,94.42,3.04
2025-03-05,Munich,800.19,0.8361,2.0266,76.56,155.16,2.82
2025-03-06,Berlin,1078.93,1.1251,2.7475,69.58,87.39,2.23
2025-03-06,Cologne,1008.46,1.0505,2.5057,83.46,207.35,3.27
2025-03-06,Hamburg,1042.77,1.0908,2.5702,63.0,77.19,3.18
2025-03-06,Leipzig,891.53,0.9316,2.2688,78.68,75.63,3.72
2025-03-06,Munich,808.44,0.8439,2.0212,77.32,119.51,2.62
2025-03-07,Berlin,1069.0,1.1135,2.7496,71.02,96.54,2.79
2025-03-07,Cologne,1012.23,1.0588,2.5216,84.76,213.96,3.23
2025-03-07,Hamburg,1045.47,1.0947,2.5473,65.39,77.1,2.71
2025-03-07,Leipzig,894.38,0.9316,2.25,80.49,153.18,3.65
2025-03-07,Munich,790.19,0.824,2.0448,80.36,174.01,3.19
2025-03-08,Berlin,898.93,0.9364,2.2702,71.52,116.68,3.44
2025-03-08,Cologne,855.72,0.8942,2.1537,87.85,213.19,3.3
2025-03-08,Hamburg,887.88,0.9268,2.134,66.57,84.82,3.41
2025-03-08,Leipzig,765.12,0.797,1.8624,82.94,111.55,3.14
2025-03-08,Munich,671.8,0.6998,1.865,83.51,145.34,3.29
2025-03-09,Berlin,887.06,0.9308,2.2242,72.73,125.97,3.5
2025-03-09,Cologne,856.62,0.8951,2.1742,87.11,212.12,3.32
2025-03-09,Hamburg,882.32,0.922,2.1671,67.68,104.16,3.79
2025-03-09,Leipzig,765.73,0.7993,2.0463,85.95,128.44,3.33
2025-03-09,Munich,672.09,0.7016,1.7603,85.73,148.97,3.38
2025-03-10,Berlin,1042.86,1.0874,2.6599,74.44,121.61,4.0
2025-03-10,Cologne,998.38,1.0443,2.5181,92.26,159.46,3.73
2025-03-10,Hamburg,1044.93,1.0919,2.4345,69.22,108.79,3.09
2025-03-10,Leipzig,894.66,0.9349,2.2804,85.65,90.79,3.54
2025-03-10,Munich,792.67,0.8274,2.0058,85.82,160.32,2.85
2025-03-11,Berlin,1060.04,1.1077,2.6322,78.24,106.26,3.1
2025-03-11,Cologne,990.73,1.0331,2.5581,93.41,173.83,4.49
2025-03-11,Hamburg,1034.36,1.0831,2.4637,70.86,71.85,3.67
2025-03-11,Leipzig,893.96,0.9351,2.3358,88.15,112.51,3.5
2025-03-11,Munich,787.06,0.8207,2.0359,87.28,142.67,3.74
2025-03-12,Berlin,1042.98,1.0898,2.7328,78.54,125.42,3.75
2025-03-12,Cologne,1003.04,1.0459,2.5243,95.61,212.32,3.76
2025-03-12,Hamburg,1024.94,1.0732,2.5339,71.86,77.83,4.24
2025-03-12,Leipzig,883.91,0.9256,2.3891,89.8,116.47,3.88
2025-03-12,Munich,787.51,0.8238,2.0608,88.96,163.54,3.61
2025-03-13,Berlin,1041.74,1.0863,2.7882,79.76,82.68,4.09
2025-03-13,Cologne,985.17,1.0305,2.3785,96.14,186.6,4.5
2025-03-13,Hamburg,1043.28,1.0902,2.5208,73.76,84.39,3.58
2025-03-13,Leipzig,889.62,0.9315,2.2714,90.45,140.72,3.81
